customerID,ISIN,net_units,currently_held
00017496858921195E5A,GRS070003009,5000.0,True
00017496858921195E5A,GRS088003017,5000.0,True
00017496858921195E5A,GRS096003009,0.0,False
00017496858921195E5A,GRS245213004,0.0,False
00017496858921195E5A,GRS359353000,4000.0,True
00017496858921195E5A,GRS428003008,0.0,False
00017496858921195E5A,GRS434003000,0.0,False
0004718496C71D464F57,GRC419120AD7,6.0,True
0004718496C71D464F57,GRC4261213D5,7.0,True
0004718496C71D464F57,GRS003003035,0.0,False
0004718496C71D464F57,GRS014003032,5000.0,True
0004718496C71D464F57,GRS015003007,0.0,False
0004718496C71D464F57,GRS191213008,8283.0,True
0004718496C71D464F57,GRS323003012,0.0,False
0004718496C71D464F57,GRS434003000,733.0,True
0004718496C71D464F57,GRS495003006,1893.0,True
00090203A8C62E135D0B,GRS144003001,200.0,True
001270E70A4ECA1CD664,GRS298343005,2137.0,True
001270E70A4ECA1CD664,GRS434003000,0.0,False
001270E70A4ECA1CD664,GRS518003009,0.0,False
001387DFC77BD44899B2,GRC4261213D5,1.0,True
001387DFC77BD44899B2,GRS003003035,3000.0,True
001387DFC77BD44899B2,GRS015003007,3000.0,True
001387DFC77BD44899B2,GRS298343005,300.0,True
0017D195DFD87A91C59D,GRS003003035,0.0,False
0017D195DFD87A91C59D,GRS260333000,0.0,False
001A82FE1591AD3926C7,GRS003003035,1.0,True
001A82FE1591AD3926C7,GRS015003007,20.0,True
001A82FE1591AD3926C7,GRS323003012,5.0,True
001D77E16FF29EC57F3E,GRF000023009,9.05,True
001DBF6F6166CB131033,GRF000037009,367.197,True
001DBF6F6166CB131033,GRF000038007,1250.348,True
00215BA74DB4920E04AF,GRF000037009,0.0,False
0022380BB9D5062D4627,GRS003003035,1640.0,True
0022380BB9D5062D4627,GRS449003003,0.0,False
002443977993FF4A3219,GRS003003035,13.0,True
002443977993FF4A3219,GRS015003007,86.0,True
00257A17CD207724AE86,GRF000038007,784.457,True
0025F4F5A591ECC76D2B,GRF000037009,0.0,False
0025F4F5A591ECC76D2B,GRS403003007,0.0,False
002A1215764F03F4B554,GRF000037009,-1.7763568394002505e-15,False
002A1215764F03F4B554,GRS260333000,0.0,False
002D8901556066EA2453,GRS323003012,0.0,False
0030B344AA10500D927B,GRS003003035,0.0,False
0030B344AA10500D927B,GRS015003007,0.0,False
0030B344AA10500D927B,GRS260333000,0.0,False
0030B344AA10500D927B,GRS323003012,0.0,False
0030B344AA10500D927B,GRS395363005,0.0,False
0030B344AA10500D927B,GRS419003009,0.0,False
0030B344AA10500D927B,GRS497003012,1.0,True
0032881DD2BDE26E4201,GRF000023009,16.733,True
0032881DD2BDE26E4201,GRF000153004,2.0,True
0032881DD2BDE26E4201,GRS014003032,12.0,True
0038715CF6249F269F70,GRS015003007,0.0,False
0038715CF6249F269F70,GRS426003000,150.0,True
0038715CF6249F269F70,GRS448003004,0.0,False
00393625688E74B6B0B1,GRF000037009,0.0,False
003CBF78D1FEC5C82D3F,GRS260333000,0.0,False
003E7F47F258AAD9B6B2,100974271034,43.0,True
003E7F47F258AAD9B6B2,GRF000038007,164.67,True
003E7F47F258AAD9B6B2,GRS484003009,100.0,True
003F1A4138030CF429A4,BE0974303357,114.0,True
003F1A4138030CF429A4,GRS184003002,890.0,True
